author_uid,institution_uid,start_date,end_date
0000-0001-5125-7699,84294,1994-01-01,1998-01-01
0000-0001-5126-8566,347c7103,2001-11-02,2012-04-30
0000-0001-5126-8566,5193,,
0000-0001-5126-8566,8e3870eb,1985-01-01,1986-01-01
0000-0001-5126-8566,8e3870eb,1979-01-01,1985-01-01
0000-0001-5126-8566,grid.4514.4,2019-10-01,
0000-0001-5126-8566,grid.473407.3,1986-01-01,1989-01-01
0000-0001-5126-8566,http://dx.doi.org/10.13039/501100002674,1990-01-02,1996-01-24
0000-0001-5126-8566,http://dx.doi.org/10.13039/501100002674,1996-01-01,2001-01-01
0000-0001-5126-8566,http://dx.doi.org/10.13039/501100004040,2012-05-01,2019-09-30
0000-0001-5128-4478,14751,2011-01-01,2017-08-20
0000-0001-5128-4478,14751,2011-01-01,2017-08-20
0000-0001-5128-4478,6752,1996-09-01,2002-05-23
0000-0001-5128-4478,6752,1996-09-01,2002-05-23
0000-0001-5128-4478,79621155,2017-08-21,
0000-0001-5128-4478,79621155,2017-08-21,
0000-0001-5136-075X,30684,2007-01-01,2012-01-01
0000-0001-5136-075X,30684,2005-01-01,2007-01-01
0000-0001-5136-075X,30684,2002-01-01,2005-01-01
0000-0001-5136-075X,30852,1997-01-01,2002-01-01
0000-0001-5136-075X,https://ror.org/02s376052,,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5137-1707,grid.9619.7,2011-07-01,
0000-0001-5139-7405,25815,1988-01-01,1989-01-01
0000-0001-5139-7405,36605b6f,,2002-01-01
0000-0001-5139-7405,60c88517,2011-01-01,
0000-0001-5139-7405,6174,,1998-01-01
0000-0001-5139-7405,6174,,1994-01-01
0000-0001-5139-7405,6174,1992-01-01,1994-01-01
0000-0001-5139-7405,62da7db8,,1990-01-01
0000-0001-5139-7405,62da7db8,2012-01-01,2019-01-01
0000-0001-5139-7405,62da7db8,1990-01-01,1992-01-01
0000-0001-5139-7405,62da7db8,1986-01-01,1988-01-01
0000-0001-5139-7405,a6498e89,1991-01-01,1996-01-01
0000-0001-5139-7405,e00ccf76,2001-01-01,2003-01-01
0000-0001-5139-7405,f5b92f58,2011-01-01,
0000-0001-5139-7405,f5b92f58,2006-01-01,2011-01-01
0000-0001-5139-7405,f5b92f58,2003-01-01,2006-01-01
0000-0001-5139-7405,f5b92f58,1999-01-01,2001-01-01
0000-0001-5139-7405,f5b92f58,1998-01-01,1999-01-01
0000-0001-5139-7405,f5b92f58,1997-01-01,1998-01-01
0000-0001-5139-7405,f5b92f58,1996-01-01,1997-01-01
0000-0001-5139-7405,f5b92f58,1995-01-01,1996-01-01
0000-0001-5139-7405,f5b92f58,1994-01-01,1995-01-01
0000-0001-5139-7405,fa935a22,,2003-01-01
0000-0001-5140-8573,117265,1982-01-01,1990-01-01
0000-0001-5140-8573,28127,1992-01-01,1996-01-01
